Regression Centroids (Box B): 4
Excluded Recent Centroids (Box A): 2
Math Search Window (Bars): 3000
Visual EDT Window (Bars): 1496
Observation Window (Box B Bars): 1135
Total 171 Crossings (n): 107
Timeframe (Sec): 900
Raw Slope (b): -0.26760
Regression Angle: -29.73
Anchored Y-Int: 4417.30201

[MODEL A; CROSSINGS]
Sample (n): 107
R-Square: 0.8055
MSE: 1722.1930
Var Ratio: 1.95
Skewness: -0.21
Kurtosis: 2.21

[MODEL B; CLOSE PRICE]
Sample (n): 1135
R-Square: 0.7958
MSE: 1661.0493
Var Ratio: 2.30
Skewness: -0.22
Kurtosis: 2.33

timestamp	symbol	timeframe	close	CEN_0	CEN_1	CEN_2	CEN_3	CEN_4	CEN_5	CEN_6	CEN_7	CEN_8	CEN_9	CEN_10	CEN_11	Base_FL	EDT_1	EDT_2	EDT_3	EDT_4	EDT_5	EDT_6	EDT_7	EDT_8	horiz_high_map	horiz_low_map	ssa	ema_ssa	crossing
1777942802	XAUUSD	M15	4538.86	4518.59282	4596.05595	4755.40355	4792.76972																				4533.05746	4530.06982	0
1777943702	XAUUSD	M15	4537.80	4518.59282	4596.05595	4755.40355	4792.76972																				4536.12190	4533.09586	0
1777944602	XAUUSD	M15	4536.92	4518.59282	4596.05595	4755.40355	4792.76972																				4538.75609	4535.92597	0
1777945502	XAUUSD	M15	4541.02	4518.59282	4596.05595	4755.40355	4792.76972																				4540.81753	4538.37175	0
1777946402	XAUUSD	M15	4538.55	4518.59282	4596.05595	4755.40355	4792.76972																				4542.08799	4540.22987	0
1777947302	XAUUSD	M15	4541.49	4518.59282	4596.05595	4755.40355	4792.76972																				4542.56935	4541.39961	0
1777948202	XAUUSD	M15	4544.58	4518.59282	4596.05595	4755.40355	4792.76972																				4542.20125	4541.80043	0
1777949102	XAUUSD	M15	4539.17	4518.59282	4596.05595	4755.40355	4792.76972																				4541.01117	4541.40580	1
1777950002	XAUUSD	M15	4542.12	4518.59282	4596.05595	4755.40355	4792.76972																				4539.35531	4540.38055	0
1777950902	XAUUSD	M15	4538.07	4518.59282	4596.05595	4755.40355	4792.76972																				4537.39560	4538.88808	0
