Fractal_timestamp	Fractal_symbol	Fractal_timeframe	Fractal_close	Fractal_Best_FL	Fractal_UOEDT	Fractal_LOEDT
1789729200	XAUUSD	M5	4385.43	4390.10416	4402.86368	4364.58511
1789729500	XAUUSD	M5	4385.85	4390.18594	4402.94546	4364.66689
1789729800	XAUUSD	M5	4388.22	4390.26772	4403.02724	4364.74867
1789730100	XAUUSD	M5	4381.62	4390.34950	4403.10902	4364.83045
1789730400	XAUUSD	M5	4381.64	4390.43128	4403.19080	4364.91223
1789730700	XAUUSD	M5	4377.72	4390.51305	4403.27258	4364.99401
1789731000	XAUUSD	M5	4380.38	4390.59483	4403.35436	4365.07578
1789731300	XAUUSD	M5	4379.43	4390.67661	4403.43613	4365.15756
1789731600	XAUUSD	M5	4375.88	4390.75839	4403.51791	4365.23934
1789731900	XAUUSD	M5	4376.35	4390.84017	4403.59969	4365.32112
1789732200	XAUUSD	M5	4373.09	4390.92195	4403.68147	4365.40290
1789732500	XAUUSD	M5	4381.32	4391.00372	4403.76325	4365.48468
1789732800	XAUUSD	M5	4381.07	4391.08550	4403.84503	4365.56646
1789733100	XAUUSD	M5	4374.96	4391.16728	4403.92681	4365.64823
1789733400	XAUUSD	M5	4373.44	4391.24906	4404.00858	4365.73001
1789733700	XAUUSD	M5	4371.39	4391.33084	4404.09036	4365.81179
1789734000	XAUUSD	M5	4357.08	4391.41262	4404.17214	4365.89357
1789734300	XAUUSD	M5	4358.33	4391.49440	4404.25392	4365.97535
1789734600	XAUUSD	M5	4370.75	4391.57617	4404.33570	4366.05713
1789734900	XAUUSD	M5	4368.70	4391.65795	4404.41748	4366.13891
1789735200	XAUUSD	M5	4369.17	4391.73973	4404.49926	4366.22068
1789735500	XAUUSD	M5	4369.00	4391.82151	4404.58103	4366.30246
1789735800	XAUUSD	M5	4368.30	4391.90329	4404.66281	4366.38424
1789736100	XAUUSD	M5	4368.91	4391.98507	4404.74459	4366.46602
1789736400	XAUUSD	M5	4370.75	4392.06685	4404.82637	4366.54780
1789736700	XAUUSD	M5	4372.64	4392.14862	4404.90815	4366.62958
1789737000	XAUUSD	M5	4371.41	4392.23040	4404.98993	4366.71136
1789737300	XAUUSD	M5	4372.13	4392.31218	4405.07171	4366.79313
1789737600	XAUUSD	M5	4365.30	4392.39396	4405.15348	4366.87491
1789737900	XAUUSD	M5	4367.15	4392.47574	4405.23526	4366.95669
1789738200	XAUUSD	M5	4358.60	4392.55752	4405.31704	4367.03847
1789738500	XAUUSD	M5	4359.14	4392.63930	4405.39882	4367.12025
1789738800	XAUUSD	M5	4353.50	4392.72107	4405.48060	4367.20203
1789739100	XAUUSD	M5	4354.44	4392.80285	4405.56238	4367.28380
1789739400	XAUUSD	M5	4349.84	4392.88463	4405.64415	4367.36558
1789739700	XAUUSD	M5	4349.44	4392.96641	4405.72593	4367.44736
1789740000	XAUUSD	M5	4356.02	4393.04819	4405.80771	4367.52914
1789740300	XAUUSD	M5	4352.23	4393.12997	4405.88949	4367.61092
1789740600	XAUUSD	M5	4351.54	4393.21174	4405.97127	4367.69270
1789740900	XAUUSD	M5	4348.19	4393.29352	4406.05305	4367.77448
1789741200	XAUUSD	M5	4352.33	4393.37530	4406.13483	4367.85625
1789741500	XAUUSD	M5	4343.01	4393.45708	4406.21660	4367.93803
