z-score_timestamp	z-score_symbol	z-score_timeframe	z-score_close	z-score_open	z-score_high	z-score_low	body_direction	body_size	body_classification
1789685101	XAUUSD	M5	4342.43	4344.25	4345.22	4341.83	-1	0.30006	3
1789685401	XAUUSD	M5	4344.86	4342.43	4344.88	4341.55	1	0.14089	0
1789685701	XAUUSD	M5	4344.45	4344.86	4346.16	4341.96	-1	0.66810	3
1789686001	XAUUSD	M5	4343.77	4344.45	4344.59	4341.87	-1	0.59784	3
1789686301	XAUUSD	M5	4344.39	4343.76	4344.86	4339.75	1	0.61076	0
1789686601	XAUUSD	M5	4345.04	4344.40	4346.40	4343.92	1	0.60815	0
1789686901	XAUUSD	M5	4344.75	4345.04	4345.46	4341.66	-1	0.69838	3
1789687201	XAUUSD	M5	4346.35	4344.75	4347.51	4344.44	1	0.35575	0
1789687501	XAUUSD	M5	4344.24	4346.35	4347.40	4342.23	-1	0.22271	3
1789687801	XAUUSD	M5	4344.76	4344.23	4345.01	4343.82	1	0.63290	0
1789688101	XAUUSD	M5	4343.77	4344.76	4344.81	4343.57	-1	0.51292	3
1789688401	XAUUSD	M5	4344.33	4343.81	4344.66	4343.30	1	0.63587	0
1789688701	XAUUSD	M5	4344.99	4344.33	4345.87	4343.56	1	0.59950	0
1789689001	XAUUSD	M5	4347.57	4344.99	4347.85	4344.68	1	0.09943	0
1789689301	XAUUSD	M5	4346.35	4347.57	4348.14	4345.54	-1	0.45372	3
1789689601	XAUUSD	M5	4344.93	4346.12	4346.35	4342.18	-1	0.46193	3
1789689901	XAUUSD	M5	4346.95	4344.91	4346.95	4343.67	1	0.23757	0
1789690201	XAUUSD	M5	4354.38	4346.96	4354.92	4346.69	1	1.16395	0
1789690501	XAUUSD	M5	4352.98	4354.08	4355.28	4352.71	-1	0.48642	3
1789690801	XAUUSD	M5	4355.86	4352.94	4357.31	4350.84	1	0.01256	0
1789691101	XAUUSD	M5	4353.45	4355.93	4355.93	4351.13	-1	0.12555	3
1789691401	XAUUSD	M5	4358.23	4353.43	4360.03	4353.09	1	0.47822	0
1789691701	XAUUSD	M5	4358.46	4358.23	4360.13	4357.78	1	0.71684	0
1789692001	XAUUSD	M5	4358.76	4358.46	4359.46	4357.49	1	0.69762	0
1789692301	XAUUSD	M5	4353.61	4358.72	4359.29	4352.74	-1	0.55689	3
1789692601	XAUUSD	M5	4353.71	4353.58	4355.45	4352.43	1	0.74306	0
1789692901	XAUUSD	M5	4356.44	4353.70	4357.33	4352.89	1	0.06006	0
1789693201	XAUUSD	M5	4362.42	4356.63	4363.94	4356.63	1	0.73371	0
1789693501	XAUUSD	M5	4361.40	4362.39	4365.57	4361.36	-1	0.52092	3
1789693801	XAUUSD	M5	4358.20	4361.40	4362.01	4357.34	-1	0.05624	3
1789694101	XAUUSD	M5	4360.62	4358.14	4362.15	4354.86	1	0.13308	0
1789694401	XAUUSD	M5	4362.24	4360.48	4364.57	4360.48	1	0.32187	0
1789694701	XAUUSD	M5	4359.84	4362.25	4363.23	4358.64	-1	0.15218	3
1789695001	XAUUSD	M5	4351.96	4359.92	4360.03	4351.88	-1	1.29283	3
1789695301	XAUUSD	M5	4350.60	4351.94	4354.92	4350.38	-1	0.43698	3
1789695601	XAUUSD	M5	4347.39	4350.55	4350.83	4347.34	-1	0.03729	3
1789695901	XAUUSD	M5	4348.25	4347.37	4350.40	4345.77	1	0.55733	0
1789696201	XAUUSD	M5	4349.17	4348.23	4350.29	4343.99	1	0.54236	0
1789696501	XAUUSD	M5	4348.36	4349.21	4350.18	4348.20	-1	0.56314	3
1789696801	XAUUSD	M5	4348.64	4348.29	4349.08	4345.93	1	0.69295	0
1789697101	XAUUSD	M5	4349.38	4348.47	4351.80	4348.27	1	0.54419	0
1789697401	XAUUSD	M5	4350.45	4349.25	4351.50	4347.00	1	0.46640	0
1789697701	XAUUSD	M5	4348.94	4350.40	4352.93	4348.85	-1	0.39876	3
1789698001	XAUUSD	M5	4352.10	4348.93	4352.50	4348.20	1	0.04833	0
1789698301	XAUUSD	M5	4352.99	4352.10	4353.77	4352.10	1	0.54745	0
1789698601	XAUUSD	M5	4355.92	4352.99	4356.51	4351.60	1	0.01516	0
1789698901	XAUUSD	M5	4352.15	4355.92	4356.52	4350.56	-1	0.20347	3
1789699201	XAUUSD	M5	4351.67	4352.15	4353.34	4350.34	-1	0.65657	3
1789699501	XAUUSD	M5	4354.47	4351.71	4355.78	4350.30	1	0.06096	0
1789699801	XAUUSD	M5	4348.81	4354.47	4355.45	4348.78	-1	0.69402	3
1789700101	XAUUSD	M5	4346.86	4348.83	4348.83	4343.32	-1	0.26974	3
1789700401	XAUUSD	M5	4349.06	4346.82	4349.57	4344.74	1	0.19994	0
1789700701	XAUUSD	M5	4345.67	4349.08	4351.88	4345.54	-1	0.10491	3
1789701001	XAUUSD	M5	4344.81	4345.69	4348.11	4344.37	-1	0.55295	3
1789701301	XAUUSD	M5	4337.46	4344.81	4344.92	4337.07	-1	1.13668	3
1789701601	XAUUSD	M5	4336.10	4337.46	4340.90	4334.68	-1	0.43032	3
1789701901	XAUUSD	M5	4340.96	4336.10	4341.12	4334.45	1	0.48326	0
1789702201	XAUUSD	M5	4350.36	4340.90	4350.37	4340.65	1	1.67702	1
1789702501	XAUUSD	M5	4352.73	4350.67	4353.46	4349.67	1	0.25128	0
