timestamp	symbol	timeframe	close	sr_1	sr_2	sr_3	sr_4	sr_5	sr_6	sr_7	sr_8
1772122198	XAUUSD	M5	5176.76	5161.89	5135.85			5178.60	5193.35	5205.31	
1772122498	XAUUSD	M5	5181.40	5178.60	5161.89	5135.85		5193.35	5205.31		
1772122798	XAUUSD	M5	5178.22	5161.89	5135.85			5178.60	5193.35	5205.31	
1772123098	XAUUSD	M5	5180.48	5178.60	5161.89	5135.85		5193.35	5205.31		
1772123398	XAUUSD	M5	5181.91	5178.60	5161.89	5135.85		5193.35	5205.31		
1772123698	XAUUSD	M5	5182.35	5178.60	5161.89	5135.85		5193.35	5205.31		
1772123998	XAUUSD	M5	5183.30	5178.60	5161.89	5135.85		5193.35	5205.31		
1772124298	XAUUSD	M5	5181.36	5178.60	5161.89	5135.85		5193.35	5205.31		
1772124598	XAUUSD	M5	5179.02	5178.60	5161.89	5135.85		5193.35	5205.31		
1772124898	XAUUSD	M5	5179.61	5178.60	5161.89	5135.85		5193.35	5205.31		
1772125198	XAUUSD	M5	5181.28	5178.60	5161.89	5135.85		5193.35	5205.31		
1772125498	XAUUSD	M5	5186.39	5178.60	5161.89	5135.85		5193.35	5205.31		
1772125798	XAUUSD	M5	5179.65	5178.60	5161.89	5135.85		5193.35	5205.31		
1772126098	XAUUSD	M5	5178.26	5161.89	5135.85			5178.60	5193.35	5205.31	
1772126398	XAUUSD	M5	5179.47	5178.60	5161.89	5135.85		5193.35	5205.31		
1772126698	XAUUSD	M5	5174.39	5161.89	5135.85			5178.60	5193.35	5205.31	
1772126998	XAUUSD	M5	5176.73	5161.89	5135.85			5178.60	5193.35	5205.31	
1772127298	XAUUSD	M5	5173.94	5161.89	5135.85			5178.60	5193.35	5205.31	
1772127598	XAUUSD	M5	5174.73	5161.89	5135.85			5178.60	5193.35	5205.31	
1772127898	XAUUSD	M5	5169.95	5161.89	5135.85			5178.60	5193.35	5205.31	
1772128198	XAUUSD	M5	5166.97	5161.89	5135.85			5178.60	5193.35	5205.31	
1772128498	XAUUSD	M5	5167.22	5161.89	5135.85			5178.60	5193.35	5205.31	
1772128798	XAUUSD	M5	5168.87	5161.89	5135.85			5178.60	5193.35	5205.31	
1772129098	XAUUSD	M5	5170.20	5161.89	5135.85			5178.60	5193.35	5205.31	
