timestamp	symbol	timeframe	close	zigzag_high	zigzag_low	ema
1771982400	XAUUSD	M5	5178.84	0.00	0.00	5154.07
1771982700	XAUUSD	M5	5185.40	0.00	0.00	5156.23
1771983000	XAUUSD	M5	5185.55	0.00	0.00	5158.27
1771983300	XAUUSD	M5	5182.98	0.00	0.00	5160.11
1771983600	XAUUSD	M5	5180.48	0.00	0.00	5161.66
1771983900	XAUUSD	M5	5183.87	0.00	0.00	5163.22
1771984200	XAUUSD	M5	5183.26	0.00	0.00	5164.62
1771984500	XAUUSD	M5	5176.97	0.00	0.00	5165.62
1771984800	XAUUSD	M5	5183.28	0.00	0.00	5166.74
1771985100	XAUUSD	M5	5186.42	0.00	0.00	5168.05
1771985400	XAUUSD	M5	5188.71	0.00	0.00	5169.40
1771985700	XAUUSD	M5	5190.56	5193.72	0.00	5170.94
1771986000	XAUUSD	M5	5187.74	0.00	0.00	5172.14
1771986300	XAUUSD	M5	5189.77	0.00	0.00	5173.32
1771986600	XAUUSD	M5	5187.94	0.00	0.00	5174.42
1771986900	XAUUSD	M5	5186.22	0.00	0.00	5175.23
1771987200	XAUUSD	M5	5186.01	0.00	0.00	5175.96
1771987500	XAUUSD	M5	5184.68	0.00	0.00	5176.61
1771987800	XAUUSD	M5	5175.73	0.00	5166.57	5176.53
1771988100	XAUUSD	M5	5180.66	0.00	0.00	5176.75
1771988400	XAUUSD	M5	5184.31	0.00	0.00	5177.35
1771988700	XAUUSD	M5	5184.47	0.00	0.00	5177.84
1771989000	XAUUSD	M5	5186.31	0.00	0.00	5178.38
1771989300	XAUUSD	M5	5184.53	0.00	0.00	5178.81
1771989600	XAUUSD	M5	5179.49	0.00	0.00	5179.01
1771989900	XAUUSD	M5	5186.32	0.00	0.00	5179.38
1771990200	XAUUSD	M5	5187.35	0.00	0.00	5179.82
1771990500	XAUUSD	M5	5183.64	0.00	0.00	5180.19
1771990800	XAUUSD	M5	5183.99	0.00	0.00	5180.38
1771991100	XAUUSD	M5	5185.30	0.00	0.00	5180.74
1771991400	XAUUSD	M5	5179.30	0.00	0.00	5180.77
1771991700	XAUUSD	M5	5181.81	0.00	0.00	5180.82
1771992000	XAUUSD	M5	5182.35	0.00	0.00	5180.90
1771992300	XAUUSD	M5	5175.06	0.00	0.00	5180.64
1771992600	XAUUSD	M5	5180.93	0.00	0.00	5180.49
1771992900	XAUUSD	M5	5183.09	0.00	0.00	5180.66
1771993200	XAUUSD	M5	5182.11	0.00	0.00	5180.80
1771993500	XAUUSD	M5	5182.90	0.00	0.00	5180.97
1771993800	XAUUSD	M5	5181.53	0.00	0.00	5181.07
1771994100	XAUUSD	M5	5182.73	0.00	0.00	5181.13
1771994400	XAUUSD	M5	5184.20	0.00	0.00	5181.30
1771994700	XAUUSD	M5	5180.96	0.00	0.00	5181.37
1771995000	XAUUSD	M5	5181.32	0.00	0.00	5181.36
1771995300	XAUUSD	M5	5182.75	0.00	0.00	5181.41
1771995600	XAUUSD	M5	5186.68	0.00	0.00	5181.74
1771995900	XAUUSD	M5	5188.00	0.00	0.00	5182.24
1771996200	XAUUSD	M5	5188.46	0.00	0.00	5182.68
1771996500	XAUUSD	M5	5192.45	0.00	0.00	5183.34
1771996800	XAUUSD	M5	5188.73	0.00	0.00	5183.80
1771997100	XAUUSD	M5	5195.42	0.00	0.00	5184.47
1771997400	XAUUSD	M5	5197.44	0.00	0.00	5185.33
1771997700	XAUUSD	M5	5197.80	0.00	0.00	5186.16
1771998000	XAUUSD	M5	5202.94	0.00	0.00	5187.24
1771998300	XAUUSD	M5	5209.19	0.00	0.00	5188.63
1771998600	XAUUSD	M5	5208.07	5210.47	0.00	5189.95
1771998900	XAUUSD	M5	5201.74	0.00	0.00	5190.94
1771999200	XAUUSD	M5	5193.75	0.00	0.00	5191.32
1771999500	XAUUSD	M5	5186.70	0.00	0.00	5191.07
1771999800	XAUUSD	M5	5191.97	0.00	0.00	5190.99
1772000100	XAUUSD	M5	5193.73	0.00	0.00	5191.13
1772000400	XAUUSD	M5	5190.48	0.00	0.00	5191.19
1772000700	XAUUSD	M5	5189.73	0.00	0.00	5191.14
1772001000	XAUUSD	M5	5192.82	0.00	0.00	5191.15
1772001300	XAUUSD	M5	5193.24	0.00	0.00	5191.28
1772001600	XAUUSD	M5	5191.41	0.00	0.00	5191.28
1772001900	XAUUSD	M5	5192.00	0.00	0.00	5191.30
1772002200	XAUUSD	M5	5191.93	0.00	0.00	5191.36
1772002500	XAUUSD	M5	5194.61	0.00	0.00	5191.52
1772002800	XAUUSD	M5	5188.34	0.00	0.00	5191.44
1772003100	XAUUSD	M5	5193.06	0.00	0.00	5191.47
1772003400	XAUUSD	M5	5188.68	0.00	0.00	5191.36
1772003700	XAUUSD	M5	5186.70	0.00	0.00	5191.08
1772004000	XAUUSD	M5	5186.63	0.00	0.00	5190.77
1772004300	XAUUSD	M5	5189.46	0.00	0.00	5190.52
1772004600	XAUUSD	M5	5188.38	0.00	0.00	5190.37
1772004900	XAUUSD	M5	5186.80	0.00	0.00	5190.16
1772005200	XAUUSD	M5	5186.27	0.00	0.00	5189.92
1772005500	XAUUSD	M5	5187.63	0.00	0.00	5189.74
1772005800	XAUUSD	M5	5182.71	0.00	5180.50	5189.33
1772006100	XAUUSD	M5	5184.69	0.00	0.00	5188.99
1772006400	XAUUSD	M5	5188.03	0.00	0.00	5188.91
1772006700	XAUUSD	M5	5186.77	0.00	0.00	5188.78
1772007000	XAUUSD	M5	5187.30	0.00	0.00	5188.70
1772007300	XAUUSD	M5	5192.50	0.00	0.00	5188.84
1772007600	XAUUSD	M5	5193.17	0.00	0.00	5189.12
1772007900	XAUUSD	M5	5193.46	0.00	0.00	5189.35
1772008200	XAUUSD	M5	5195.27	0.00	0.00	5189.72
1772008500	XAUUSD	M5	5193.88	5197.34	0.00	5190.10
1772008800	XAUUSD	M5	5192.21	0.00	0.00	5190.30
1772009100	XAUUSD	M5	5192.13	0.00	0.00	5190.39
1772009400	XAUUSD	M5	5187.71	0.00	0.00	5190.29
1772009700	XAUUSD	M5	5185.37	0.00	0.00	5190.02
1772010000	XAUUSD	M5	5181.47	0.00	5176.67	5189.42
1772010300	XAUUSD	M5	5184.69	0.00	0.00	5188.98
1772010600	XAUUSD	M5	5183.72	0.00	0.00	5188.70
1772010900	XAUUSD	M5	5185.94	0.00	0.00	5188.41
1772011200	XAUUSD	M5	5186.75	0.00	0.00	5188.30
1772011500	XAUUSD	M5	5186.75	0.00	0.00	5188.22
1772011800	XAUUSD	M5	5189.38	0.00	0.00	5188.23
