timestamp	symbol	timeframe	close	dual_tema_high	dual_tema_low
1771938000	XAUUSD	M5	5154.93	5155.88	5147.64
1771938300	XAUUSD	M5	5158.55	5156.75	5149.32
1771938600	XAUUSD	M5	5159.00	5158.53	5152.66
1771938900	XAUUSD	M5	5152.92	5158.75	5152.91
1771939200	XAUUSD	M5	5156.97	5158.44	5152.69
1771939500	XAUUSD	M5	5156.43	5158.38	5153.92
1771939800	XAUUSD	M5	5153.87	5158.53	5152.31
1771940100	XAUUSD	M5	5138.59	5157.08	5143.22
1771940400	XAUUSD	M5	5146.00	5152.89	5139.11
1771940700	XAUUSD	M5	5126.45	5149.15	5131.47
1771941000	XAUUSD	M5	5133.11	5140.95	5125.28
1771941300	XAUUSD	M5	5115.35	5136.00	5116.14
1771941600	XAUUSD	M5	5118.10	5128.44	5109.53
1771941900	XAUUSD	M5	5121.27	5125.56	5109.99
1771942200	XAUUSD	M5	5105.37	5121.38	5099.71
1771942500	XAUUSD	M5	5101.94	5112.70	5096.88
1771942800	XAUUSD	M5	5118.74	5112.93	5096.25
1771943100	XAUUSD	M5	5115.57	5113.65	5101.21
1771943400	XAUUSD	M5	5117.70	5117.32	5104.09
1771943700	XAUUSD	M5	5135.10	5124.99	5108.56
1771944000	XAUUSD	M5	5137.20	5131.90	5118.57
1771944300	XAUUSD	M5	5132.98	5136.44	5124.42
1771944600	XAUUSD	M5	5129.76	5139.00	5127.38
1771944900	XAUUSD	M5	5127.73	5137.47	5129.23
1771945200	XAUUSD	M5	5125.43	5134.89	5125.72
1771945500	XAUUSD	M5	5135.47	5136.88	5126.91
1771945800	XAUUSD	M5	5136.96	5138.25	5130.93
1771946100	XAUUSD	M5	5140.13	5140.61	5134.37
1771946400	XAUUSD	M5	5143.55	5143.60	5137.95
1771946700	XAUUSD	M5	5138.31	5146.13	5139.88
1771947000	XAUUSD	M5	5140.81	5145.35	5138.94
1771947300	XAUUSD	M5	5144.64	5147.17	5141.13
1771947600	XAUUSD	M5	5149.82	5149.74	5144.29
1771947900	XAUUSD	M5	5152.66	5153.63	5148.54
1771948200	XAUUSD	M5	5145.91	5154.65	5148.61
1771948500	XAUUSD	M5	5150.30	5154.34	5148.55
1771948800	XAUUSD	M5	5148.95	5154.35	5149.80
1771949100	XAUUSD	M5	5143.97	5152.73	5146.87
1771949400	XAUUSD	M5	5147.46	5151.08	5144.75
1771949700	XAUUSD	M5	5147.64	5151.06	5145.65
1771950000	XAUUSD	M5	5143.16	5149.46	5144.33
1771950300	XAUUSD	M5	5143.63	5146.84	5142.85
1771950600	XAUUSD	M5	5137.39	5144.93	5138.89
1771950900	XAUUSD	M5	5145.77	5145.19	5136.98
1771951200	XAUUSD	M5	5145.42	5147.41	5138.84
1771951500	XAUUSD	M5	5136.17	5146.41	5136.36
1771951800	XAUUSD	M5	5137.98	5142.41	5133.10
1771952100	XAUUSD	M5	5141.80	5141.45	5134.10
1771952400	XAUUSD	M5	5149.39	5144.66	5137.11
1771952700	XAUUSD	M5	5152.87	5148.51	5142.40
1771953000	XAUUSD	M5	5156.23	5153.27	5147.78
1771953300	XAUUSD	M5	5160.92	5157.93	5152.59
1771953600	XAUUSD	M5	5160.04	5161.72	5157.02
1771953900	XAUUSD	M5	5158.52	5162.35	5157.74
1771954200	XAUUSD	M5	5158.27	5162.11	5158.59
1771954500	XAUUSD	M5	5158.37	5161.71	5159.00
1771954800	XAUUSD	M5	5160.52	5162.28	5159.83
1771955100	XAUUSD	M5	5160.16	5162.80	5160.26
1771955400	XAUUSD	M5	5159.04	5162.13	5159.80
1771955700	XAUUSD	M5	5163.64	5163.33	5159.78
1771956000	XAUUSD	M5	5167.21	5166.28	5162.17
1771956300	XAUUSD	M5	5168.50	5168.87	5165.19
1771956600	XAUUSD	M5	5164.24	5169.82	5165.57
1771956900	XAUUSD	M5	5159.84	5168.52	5163.51
1771957200	XAUUSD	M5	5159.11	5165.97	5160.96
1771957500	XAUUSD	M5	5158.28	5163.26	5158.38
1771957800	XAUUSD	M5	5156.52	5162.04	5156.42
1771958100	XAUUSD	M5	5157.95	5160.20	5154.56
1771958400	XAUUSD	M5	5159.11	5159.56	5155.45
1771958700	XAUUSD	M5	5159.63	5159.59	5155.17
1771959000	XAUUSD	M5	5160.33	5160.58	5156.49
1771959300	XAUUSD	M5	5160.06	5161.38	5157.69
1771959600	XAUUSD	M5	5156.40	5160.70	5156.34
1771959900	XAUUSD	M5	5152.84	5158.85	5154.27
1771960200	XAUUSD	M5	5156.29	5157.26	5151.52
1771960500	XAUUSD	M5	5148.93	5156.78	5149.51
1771960800	XAUUSD	M5	5147.34	5153.67	5147.14
1771961100	XAUUSD	M5	5151.59	5152.15	5146.15
1771961400	XAUUSD	M5	5153.64	5152.20	5146.62
1771961700	XAUUSD	M5	5155.71	5153.61	5148.91
1771962000	XAUUSD	M5	5152.26	5154.75	5150.12
1771962300	XAUUSD	M5	5154.36	5154.56	5150.67
1771962600	XAUUSD	M5	5152.80	5154.78	5151.21
1771962900	XAUUSD	M5	5154.01	5154.77	5152.03
1771963200	XAUUSD	M5	5153.22	5155.23	5151.86
1771963500	XAUUSD	M5	5149.67	5154.28	5150.21
1771963800	XAUUSD	M5	5149.23	5152.20	5148.38
1771964100	XAUUSD	M5	5154.84	5153.49	5148.06
1771964400	XAUUSD	M5	5164.95	5159.24	5151.13
1771964700	XAUUSD	M5	5168.21	5165.17	5157.55
1771965000	XAUUSD	M5	5170.42	5169.02	5162.34
1771965300	XAUUSD	M5	5169.62	5172.31	5166.87
1771965600	XAUUSD	M5	5172.26	5174.37	5169.50
1771965900	XAUUSD	M5	5168.22	5174.96	5170.47
1771966200	XAUUSD	M5	5163.69	5174.07	5167.73
1771966500	XAUUSD	M5	5164.24	5170.64	5164.04
1771966800	XAUUSD	M5	5158.21	5168.67	5161.32
1771967100	XAUUSD	M5	5157.54	5164.11	5158.86
1771967400	XAUUSD	M5	5161.12	5162.19	5157.30
1771967700	XAUUSD	M5	5158.33	5161.59	5157.22
1771968000	XAUUSD	M5	5153.97	5159.41	5155.16
1771968300	XAUUSD	M5	5155.44	5157.08	5153.94
1771968600	XAUUSD	M5	5149.86	5155.53	5150.79
1771968900	XAUUSD	M5	5149.81	5152.08	5147.55
1771969200	XAUUSD	M5	5150.79	5150.39	5145.64
1771969500	XAUUSD	M5	5148.20	5149.33	5145.02
1771969800	XAUUSD	M5	5145.11	5147.63	5141.49
1771970100	XAUUSD	M5	5143.97	5145.47	5140.88
