timestamp	symbol	timeframe	close	ha_open	ha_high	ha_low	ha_close	ha_color	ha_body_size	ha_body_zscore	ha_trend
1744220400	XAUUSD	M5	5186.75	5185.52	5188.47	5185.52	5187.07	1	1.54	-0.56208	8
1744220700	XAUUSD	M5	5186.75	5184.55	5188.24	5184.55	5186.5	1	1.95	-0.42781	9
1744221000	XAUUSD	M5	5185.94	5184.68	5186.15	5181.82	5184.41	-1	0.27	-0.98103	-1
1744221300	XAUUSD	M5	5183.72	5184.31	5188.03	5183.58	5185.06	1	0.75	-0.82885	1
1744221600	XAUUSD	M5	5184.69	5185.82	5185.87	5179.09	5182.8	-1	3.02	-0.08211	-1
1744221900	XAUUSD	M5	5181.47	5189.01	5189.01	5176.67	5182.63	-1	6.38	1.02842	-2
1744222200	XAUUSD	M5	5185.37	5191.22	5191.22	5184.13	5186.79	-1	4.43	0.38863	-3
1744222500	XAUUSD	M5	5187.71	5192.65	5192.65	5187.15	5189.79	-1	2.86	-0.12886	-4
1744222800	XAUUSD	M5	5192.13	5193.57	5193.57	5190.36	5191.74	-1	1.83	-0.46761	-5
1744223100	XAUUSD	M5	5192.21	5194.02	5195.04	5191.33	5193.11	-1	0.9	-0.77196	-6
1744223400	XAUUSD	M5	5193.88	5192.93	5197.34	5192.93	5195.11	1	2.17	-0.3536	1
1744223700	XAUUSD	M5	5195.27	5191.55	5195.7	5191.55	5194.32	1	2.77	-0.15553	2
1744224000	XAUUSD	M5	5193.46	5190.53	5193.56	5190.09	5192.58	1	2.05	-0.39297	3
1744224300	XAUUSD	M5	5193.17	5188.43	5194.19	5188.43	5192.62	1	4.19	0.31208	4
1744224600	XAUUSD	M5	5192.5	5187.03	5192.83	5186.74	5189.83	1	2.8	-0.14829	5
1744224900	XAUUSD	M5	5187.3	5186.74	5189.42	5186.23	5187.31	1	0.57	-0.88673	6
1744225200	XAUUSD	M5	5186.77	5186.13	5188.58	5186.12	5187.36	1	1.23	-0.6705	7
1744225500	XAUUSD	M5	5188.03	5185.08	5190.34	5185.08	5187.18	1	2.1	-0.38406	8
1744225800	XAUUSD	M5	5184.69	5186.06	5186.3	5182.64	5184.09	-1	1.97	-0.42581	-1
1744226100	XAUUSD	M5	5182.71	5187.24	5188.68	5180.5	5184.88	-1	2.36	-0.29369	-2
1744226400	XAUUSD	M5	5187.63	5187.37	5189.33	5185.3	5187.12	-1	0.24	-0.98913	-3
1744226700	XAUUSD	M5	5186.27	5187.88	5188.28	5186.05	5186.85	-1	1.03	-0.73094	-4
1744227000	XAUUSD	M5	5186.8	5188.16	5189.36	5185.88	5187.6	-1	0.55	-0.88926	-5
1744227300	XAUUSD	M5	5188.38	5187.59	5190.45	5186.58	5188.72	1	1.13	-0.70394	1
1744227600	XAUUSD	M5	5189.46	5188.1	5189.79	5182.45	5187.08	-1	1.02	-0.74656	-1
1744227900	XAUUSD	M5	5186.63	5189.44	5189.44	5184.42	5186.76	-1	2.68	-0.20639	-2
1744228200	XAUUSD	M5	5186.7	5191.1	5191.1	5185.49	5187.78	-1	3.32	0.00356	-3
1744228500	XAUUSD	M5	5188.68	5191.5	5193.6	5187.44	5190.71	-1	0.79	-0.82199	-4
1744228800	XAUUSD	M5	5193.06	5191.97	5194.38	5188.32	5191.02	-1	0.95	-0.77122	-5
1744229100	XAUUSD	M5	5188.34	5192.51	5195.1	5187.67	5191.43	-1	1.07	-0.73283	-6
1744229400	XAUUSD	M5	5194.61	5191.88	5194.61	5191.41	5193.14	1	1.26	-0.6721	1
1744229700	XAUUSD	M5	5191.93	5191.7	5194.02	5190.5	5192.06	1	0.36	-0.97404	2
1744230000	XAUUSD	M5	5192	5191.93	5193.4	5189.16	5191.47	-1	0.46	-0.94799	-1
1744230300	XAUUSD	M5	5191.41	5192.04	5193.23	5189.36	5191.81	-1	0.24	-1.02384	-2
1744230600	XAUUSD	M5	5193.24	5191.16	5194.35	5191.16	5192.92	1	1.76	-0.52472	1
1744230900	XAUUSD	M5	5192.82	5191.43	5193.2	5188.03	5190.89	-1	0.54	-0.92581	-1
1744231200	XAUUSD	M5	5189.73	5192.46	5192.69	5188.71	5190.41	-1	2.05	-0.43178	-2
1744231500	XAUUSD	M5	5190.48	5192.47	5195.42	5190.17	5192.44	-1	0.04	-1.09262	-3
1744231800	XAUUSD	M5	5193.73	5192.19	5194.8	5190.34	5192.76	1	0.56	-0.92386	1
1744232100	XAUUSD	M5	5191.97	5195.27	5195.27	5185.5	5189.12	-1	6.15	0.91547	-1
1744232400	XAUUSD	M5	5186.7	5201.23	5201.23	5182.47	5189.31	-1	11.92	2.82292	-2
1744232700	XAUUSD	M5	5193.75	5204.77	5204.77	5193.53	5197.68	-1	7.09	1.258	-3
1744233000	XAUUSD	M5	5201.74	5204.73	5208.14	5201.23	5204.81	1	0.07	-1.07923	1
1744233300	XAUUSD	M5	5208.07	5201.83	5210.47	5201.83	5207.64	1	5.8	0.83762	2
1744233600	XAUUSD	M5	5209.19	5197.86	5209.26	5197.86	5205.8	1	7.94	1.56039	3
1744233900	XAUUSD	M5	5202.94	5195.34	5203.74	5195.34	5200.38	1	5.03	0.59576	4
1744234200	XAUUSD	M5	5197.8	5193.58	5198.34	5193.58	5197.11	1	3.53	0.09518	5
1744234500	XAUUSD	M5	5197.44	5190.92	5199.48	5190.92	5196.24	1	5.32	0.69801	6
1744234800	XAUUSD	M5	5195.42	5189.75	5195.96	5188.23	5192.08	1	2.33	-0.3042	7
1744235100	XAUUSD	M5	5188.73	5189.06	5192.75	5187.84	5190.44	1	1.38	-0.62082	8
1744235400	XAUUSD	M5	5192.45	5187.1	5194.8	5187.1	5191.03	1	3.94	0.23655	9
1744235700	XAUUSD	M5	5188.46	5185.91	5189.77	5185.91	5188.28	1	2.38	-0.28441	10
1744239600	XAUUSD	M5	5188	5183.62	5191.48	5183.62	5188.2	1	4.58	0.45586	11
1744239900	XAUUSD	M5	5186.68	5181.93	5188.39	5181.93	5185.32	1	3.39	0.05805	12
1744240200	XAUUSD	M5	5182.75	5181.94	5183.61	5179.99	5181.92	-1	0.02	-1.07234	-1
1744240500	XAUUSD	M5	5181.32	5182.7	5182.7	5180.51	5181.17	-1	1.52	-0.57736	-2
1744240800	XAUUSD	M5	5180.96	5182.72	5185.02	5180.51	5182.67	-1	0.05	-1.07316	-3
1744241100	XAUUSD	M5	5184.2	5182.11	5184.24	5182.11	5183.32	1	1.21	-0.69226	1
1744241400	XAUUSD	M5	5182.73	5182.39	5183.06	5180.02	5181.84	-1	0.55	-0.91518	-1
1744241700	XAUUSD	M5	5181.53	5182.31	5184	5181.46	5182.47	1	0.16	-1.04721	1
1744242000	XAUUSD	M5	5182.9	5181.65	5185.15	5181.65	5182.98	1	1.33	-0.65845	2
1744242300	XAUUSD	M5	5182.11	5180.68	5184.72	5180.68	5182.61	1	1.93	-0.45845	3
1744242600	XAUUSD	M5	5183.09	5178.99	5184.88	5178.99	5182.37	1	3.37	0.02446	4
1744242900	XAUUSD	M5	5180.93	5180.27	5181.96	5172.97	5177.71	-1	2.57	-0.24139	-1
1744243200	XAUUSD	M5	5175.06	5182	5182.35	5174.42	5178.55	-1	3.46	0.05969	-2
1744243500	XAUUSD	M5	5182.35	5182.17	5183.31	5179.87	5181.84	-1	0.33	-0.97868	-3
1744243800	XAUUSD	M5	5181.81	5183.37	5184.63	5178.12	5180.97	-1	2.4	-0.29302	-4
1744244100	XAUUSD	M5	5179.3	5184.52	5185.47	5178.83	5182.22	-1	2.3	-0.32623	-5
1744244400	XAUUSD	M5	5185.3	5183.98	5187.67	5183.28	5185.06	1	1.08	-0.7352	1
1744244700	XAUUSD	M5	5183.99	5184.99	5184.99	5179.44	5182.98	-1	2	-0.42636	-1
1744245000	XAUUSD	M5	5183.64	5184.34	5188.37	5183.19	5185.64	1	1.3	-0.66531	1
1744245300	XAUUSD	M5	5187.35	5183.23	5188.56	5180.64	5185.45	1	2.22	-0.36543	2
1744245600	XAUUSD	M5	5186.32	5183.42	5186.9	5179.44	5183.04	-1	0.38	-0.97783	-1
1744245900	XAUUSD	M5	5179.49	5184.53	5185.7	5179.49	5182.3	-1	2.23	-0.36897	-2
1744246200	XAUUSD	M5	5184.53	5184.16	5187.54	5181.16	5184.89	1	0.73	-0.86019	1
1744246500	XAUUSD	M5	5186.31	5183.22	5186.57	5183.12	5185.11	1	1.89	-0.47968	2
1744246800	XAUUSD	M5	5184.47	5182.21	5186.35	5181.8	5184.23	1	2.02	-0.43353	3
1744247100	XAUUSD	M5	5184.31	5180.23	5190.19	5180.23	5184.19	1	3.95	0.20217	4
1744247400	XAUUSD	M5	5180.66	5181.85	5183.06	5174.93	5178.61	-1	3.23	-0.03452	-1
1744247700	XAUUSD	M5	5175.73	5185.88	5185.88	5166.57	5177.81	-1	8.07	1.55826	-2
1744248000	XAUUSD	M5	5184.68	5186.45	5186.9	5183.64	5185.31	-1	1.15	-0.71203	-3
1744248300	XAUUSD	M5	5186.01	5187.44	5187.44	5182.74	5185.47	-1	1.98	-0.44363	-4
1744248600	XAUUSD	M5	5186.22	5188.62	5188.62	5182.82	5186.27	-1	2.34	-0.32378	-5
1744248900	XAUUSD	M5	5187.94	5188.24	5190.59	5187.66	5188.99	1	0.76	-0.8451	1
1744249200	XAUUSD	M5	5189.77	5188.03	5190.45	5185.81	5188.44	1	0.41	-0.96269	2
1744249500	XAUUSD	M5	5187.74	5187.56	5190.82	5184.88	5188.5	1	0.94	-0.78665	3
1744249800	XAUUSD	M5	5190.56	5184.77	5193.72	5184.77	5190.36	1	5.6	0.60864	4
1744250100	XAUUSD	M5	5188.71	5182.68	5189.3	5182.68	5186.85	1	4.17	0.14589	5
1744250400	XAUUSD	M5	5186.42	5180.77	5186.54	5180.77	5184.59	1	3.82	0.04604	6
1744250700	XAUUSD	M5	5183.28	5181.33	5184.21	5176.48	5180.22	-1	1.1	-0.6282	-1
