z-score_timestamp	z-score_symbol	z-score_timeframe	z-score_close	z-score_open	z-score_high	z-score_low	body_direction	body_size	body_classification
1788283803	XAUUSD	M15	4344.18	4349.84	4351.91	4342.75	-1	0.10843	3
1788284703	XAUUSD	M15	4342.96	4343.97	4344.54	4341.05	-1	0.75193	3
1788285603	XAUUSD	M15	4336.43	4342.98	4344.56	4334.51	-1	0.27759	3
1788286503	XAUUSD	M15	4337.51	4336.43	4341.80	4335.64	1	0.74031	0
1788287403	XAUUSD	M15	4329.66	4337.55	4337.65	4328.42	-1	0.52718	3
1788288303	XAUUSD	M15	4331.76	4329.60	4334.31	4328.34	1	0.53648	0
1788289203	XAUUSD	M15	4337.34	4331.67	4337.34	4329.11	1	0.11896	0
1788290103	XAUUSD	M15	4334.52	4337.31	4337.68	4333.42	-1	0.41804	3
1788291003	XAUUSD	M15	4326.44	4334.55	4334.76	4322.72	-1	0.57189	3
1788291903	XAUUSD	M15	4327.17	4326.38	4330.43	4323.59	1	0.79069	0
1788292803	XAUUSD	M15	4325.74	4327.02	4330.78	4323.72	-1	0.70018	3
1788293703	XAUUSD	M15	4326.09	4325.83	4329.06	4324.99	1	0.89023	0
1788294603	XAUUSD	M15	4327.64	4326.09	4330.46	4325.20	1	0.65001	0
1788295503	XAUUSD	M15	4328.20	4327.64	4329.85	4326.88	1	0.83478	0
1788300003	XAUUSD	M15	4329.19	4332.97	4334.35	4328.40	-1	0.23533	3
1788300903	XAUUSD	M15	4327.79	4329.19	4329.30	4327.18	-1	0.67976	3
1788301803	XAUUSD	M15	4328.31	4327.87	4329.51	4326.35	1	0.85590	0
1788302703	XAUUSD	M15	4329.37	4328.31	4331.21	4327.39	1	0.74000	0
1788303603	XAUUSD	M15	4330.63	4329.37	4332.55	4327.17	1	0.70217	0
1788304503	XAUUSD	M15	4330.87	4330.63	4331.58	4326.26	1	0.88793	0
1788305403	XAUUSD	M15	4333.78	4330.90	4335.76	4330.82	1	0.39439	0
1788306303	XAUUSD	M15	4324.40	4333.83	4333.95	4323.44	-1	0.82209	3
1788307203	XAUUSD	M15	4328.07	4324.59	4330.51	4315.90	1	0.28693	0
1788308103	XAUUSD	M15	4325.85	4328.23	4334.63	4322.74	-1	0.49059	3
1788309003	XAUUSD	M15	4330.12	4325.85	4331.75	4320.47	1	0.14032	0
1788309903	XAUUSD	M15	4315.81	4330.06	4331.37	4314.81	-1	1.70974	4
1788310803	XAUUSD	M15	4317.63	4315.66	4322.58	4304.88	1	0.57153	0
1788311703	XAUUSD	M15	4317.22	4317.58	4326.77	4315.31	-1	0.86848	3
1788312603	XAUUSD	M15	4309.12	4317.20	4318.55	4305.16	-1	0.56151	3
1788313503	XAUUSD	M15	4291.00	4309.21	4309.86	4288.33	-1	2.42058	4
1788314403	XAUUSD	M15	4296.13	4291.00	4301.97	4287.38	1	0.00548	0
1788315303	XAUUSD	M15	4304.41	4296.15	4306.36	4296.03	1	0.58316	0
1788316203	XAUUSD	M15	4309.32	4304.51	4314.76	4299.57	1	0.05361	0
1788317103	XAUUSD	M15	4302.90	4309.30	4311.22	4300.38	-1	0.23784	3
1788318003	XAUUSD	M15	4300.87	4302.97	4304.34	4296.96	-1	0.55530	3
1788318903	XAUUSD	M15	4293.78	4300.81	4302.60	4289.46	-1	0.35359	3
1788319803	XAUUSD	M15	4288.84	4293.78	4293.82	4282.53	-1	0.03140	3
1788320703	XAUUSD	M15	4303.33	4288.75	4303.86	4288.56	1	1.73767	1
1788321603	XAUUSD	M15	4304.30	4303.33	4306.77	4302.18	1	0.76685	0
1788322503	XAUUSD	M15	4302.76	4304.30	4305.47	4301.42	-1	0.66161	3
1788323403	XAUUSD	M15	4304.75	4302.90	4307.77	4302.59	1	0.60474	0
1788324303	XAUUSD	M15	4307.28	4304.75	4307.62	4303.85	1	0.47827	0
1788325203	XAUUSD	M15	4310.00	4307.29	4310.08	4303.65	1	0.44593	0
1788326103	XAUUSD	M15	4313.06	4310.02	4313.94	4306.80	1	0.38446	0
1788327003	XAUUSD	M15	4323.14	4313.06	4324.80	4313.06	1	0.90916	0
1788327903	XAUUSD	M15	4319.83	4323.21	4326.56	4319.35	-1	0.32086	3
1788328803	XAUUSD	M15	4326.55	4319.91	4329.26	4317.61	1	0.27725	0
1788329703	XAUUSD	M15	4322.83	4326.55	4328.48	4320.82	-1	0.26149	3
1788330603	XAUUSD	M15	4324.22	4322.83	4326.39	4316.87	1	0.68729	0
1788331503	XAUUSD	M15	4321.76	4324.22	4324.97	4314.57	-1	0.48709	3
1788332403	XAUUSD	M15	4326.71	4321.76	4331.02	4319.20	1	0.02553	0
1788333303	XAUUSD	M15	4326.82	4326.58	4329.33	4324.97	1	0.89273	0
1788334203	XAUUSD	M15	4322.68	4326.80	4331.37	4321.99	-1	0.17657	3
1788335103	XAUUSD	M15	4323.17	4322.77	4325.08	4320.53	1	0.86066	0
1788336003	XAUUSD	M15	4325.69	4323.30	4331.67	4322.15	1	0.48750	0
1788336903	XAUUSD	M15	4323.02	4325.48	4327.75	4322.70	-1	0.47289	3
1788337803	XAUUSD	M15	4322.02	4323.15	4326.82	4319.58	-1	0.71706	3
1788338703	XAUUSD	M15	4312.87	4322.28	4322.59	4312.68	-1	0.82529	3
1788339603	XAUUSD	M15	4313.92	4312.89	4322.33	4312.37	1	0.73407	0
1788340503	XAUUSD	M15	4309.07	4313.90	4315.27	4304.94	-1	0.02634	3
1788341403	XAUUSD	M15	4310.05	4309.05	4311.81	4307.48	1	0.73656	0
1788342303	XAUUSD	M15	4308.58	4310.02	4311.45	4307.95	-1	0.65360	3
1788343203	XAUUSD	M15	4306.87	4308.68	4309.67	4301.79	-1	0.58401	3
1788344103	XAUUSD	M15	4309.91	4306.74	4312.23	4306.11	1	0.33118	0
1788345003	XAUUSD	M15	4309.43	4309.92	4310.74	4307.23	-1	0.82950	3
1788345903	XAUUSD	M15	4309.32	4309.43	4310.39	4305.21	-1	0.89979	3
1788346803	XAUUSD	M15	4322.84	4309.38	4324.49	4307.67	1	1.57345	1
1788347703	XAUUSD	M15	4321.84	4322.69	4323.18	4315.63	-1	0.76251	3
1788348603	XAUUSD	M15	4324.75	4321.83	4333.01	4321.67	1	0.37940	0
1788349503	XAUUSD	M15	4332.34	4324.62	4332.95	4323.38	1	0.50809	0
1788350403	XAUUSD	M15	4333.28	4332.43	4336.45	4329.17	1	0.76530	0
1788351303	XAUUSD	M15	4336.46	4333.10	4344.29	4329.93	1	0.29975	0
1788352203	XAUUSD	M15	4334.35	4336.22	4337.68	4327.48	-1	0.57536	3
1788353103	XAUUSD	M15	4331.70	4334.28	4339.23	4330.55	-1	0.44441	3
1788354003	XAUUSD	M15	4339.54	4331.41	4344.52	4330.87	1	0.58182	0
1788354903	XAUUSD	M15	4358.32	4339.58	4358.32	4336.75	1	2.52339	2
1788355803	XAUUSD	M15	4378.21	4358.37	4379.42	4357.05	1	2.69669	2
1788356703	XAUUSD	M15	4385.52	4378.12	4385.52	4367.74	1	0.42239	0
1788357603	XAUUSD	M15	4387.85	4385.32	4397.55	4378.97	1	0.46562	0
1788358503	XAUUSD	M15	4387.78	4387.80	4397.29	4384.89	-1	0.91988	3
1788359403	XAUUSD	M15	4385.65	4387.53	4388.13	4381.32	-1	0.58145	3
1788360303	XAUUSD	M15	4377.01	4385.46	4386.79	4374.32	-1	0.61562	3
1788361203	XAUUSD	M15	4372.64	4376.96	4380.83	4372.58	-1	0.13798	3
1788362103	XAUUSD	M15	4372.51	4372.88	4372.94	4365.67	-1	0.85688	3
1788363003	XAUUSD	M15	4366.29	4372.65	4375.03	4366.08	-1	0.23473	3
1788363903	XAUUSD	M15	4372.99	4366.05	4373.90	4364.60	1	0.33824	0
1788364803	XAUUSD	M15	4372.45	4373.14	4374.80	4368.96	-1	0.80040	3
1788365703	XAUUSD	M15	4368.72	4372.45	4372.49	4367.67	-1	0.24689	3
1788366603	XAUUSD	M15	4365.07	4368.51	4370.51	4364.63	-1	0.29652	3
1788367503	XAUUSD	M15	4368.37	4364.95	4370.58	4364.55	1	0.30139	0
1788368403	XAUUSD	M15	4368.92	4368.37	4371.13	4367.62	1	0.82496	0
1788369303	XAUUSD	M15	4369.81	4368.90	4369.94	4364.66	1	0.75585	0
1788370203	XAUUSD	M15	4376.47	4369.95	4377.58	4366.59	1	0.27783	0
1788371103	XAUUSD	M15	4377.03	4376.54	4380.68	4375.48	1	0.83044	0
1788372003	XAUUSD	M15	4370.27	4377.03	4377.67	4370.20	-1	0.32751	3
1788372903	XAUUSD	M15	4373.14	4370.27	4379.60	4369.25	1	0.39117	0
1788373803	XAUUSD	M15	4373.03	4373.06	4378.24	4372.56	-1	0.91406	3
1788374703	XAUUSD	M15	4374.10	4373.01	4375.86	4372.59	1	0.71712	0
1788375603	XAUUSD	M15	4379.24	4374.13	4380.29	4371.81	1	0.02643	0
1788376503	XAUUSD	M15	4381.15	4379.15	4383.07	4378.26	1	0.54962	0
1788377403	XAUUSD	M15	4388.14	4381.19	4388.70	4381.19	1	0.36604	0
1788378303	XAUUSD	M15	4390.96	4388.13	4391.30	4384.94	1	0.39596	0
1788379203	XAUUSD	M15	4386.03	4391.12	4391.60	4385.95	-1	0.02010	3
1788380103	XAUUSD	M15	4386.38	4386.03	4387.76	4384.13	1	0.85520	0
1788381003	XAUUSD	M15	4387.94	4386.20	4389.78	4385.74	1	0.59812	0
1788381903	XAUUSD	M15	4388.10	4387.88	4390.69	4387.42	1	0.87927	0
1788386403	XAUUSD	M15	4390.03	4391.34	4393.07	4389.77	-1	0.67751	3
1788387303	XAUUSD	M15	4389.90	4389.89	4390.94	4387.81	1	0.91613	0
1788388203	XAUUSD	M15	4384.96	4389.90	4389.90	4384.82	-1	0.00163	3
1788389103	XAUUSD	M15	4384.53	4385.25	4385.33	4383.61	-1	0.78277	3
1788390003	XAUUSD	M15	4384.04	4384.72	4386.85	4383.93	-1	0.78998	3
1788390903	XAUUSD	M15	4382.18	4384.04	4384.21	4381.89	-1	0.57022	3
1788391803	XAUUSD	M15	4385.28	4382.18	4385.39	4381.15	1	0.34091	0
1788392703	XAUUSD	M15	4385.66	4385.19	4388.91	4384.56	1	0.82436	0
1788393603	XAUUSD	M15	4390.26	4385.66	4392.57	4384.58	1	0.06066	0
1788394503	XAUUSD	M15	4387.20	4390.36	4390.42	4385.30	-1	0.32656	3
1788395403	XAUUSD	M15	4387.77	4387.20	4389.69	4382.63	1	0.80505	0
1788396303	XAUUSD	M15	4395.64	4387.76	4397.49	4385.80	1	0.54459	0
1788397203	XAUUSD	M15	4401.52	4395.62	4409.22	4387.36	1	0.17722	0
1788398103	XAUUSD	M15	4401.80	4401.17	4403.67	4394.09	1	0.79648	0
1788399003	XAUUSD	M15	4400.86	4401.67	4409.42	4400.44	-1	0.76106	3
1788399903	XAUUSD	M15	4410.27	4400.75	4412.57	4400.27	1	0.84477	0
