ohlcv_timestamp	ohlcv_symbol	ohlcv_timeframe	ohlcv_close	ohlcv_open	ohlcv_high	ohlcv_low	ohlcv_volume
1787578803	XAUUSD	M5	4658.95000	4667.45000	4674.40000	4658.60000	962
1787579103	XAUUSD	M5	4673.82000	4658.79000	4677.98000	4656.41000	952
1787579403	XAUUSD	M5	4666.77000	4673.65000	4675.83000	4658.13000	952
1787579703	XAUUSD	M5	4664.69000	4666.93000	4668.86000	4659.32000	931
1787580003	XAUUSD	M5	4663.65000	4664.83000	4667.74000	4659.90000	911
1787580303	XAUUSD	M5	4670.73000	4663.21000	4670.73000	4662.37000	935
1787580603	XAUUSD	M5	4665.66000	4670.72000	4671.98000	4662.14000	942
1787580903	XAUUSD	M5	4665.77000	4665.67000	4666.24000	4655.55000	938
1787581203	XAUUSD	M5	4666.19000	4665.28000	4670.01000	4664.73000	906
1787581503	XAUUSD	M5	4671.60000	4666.19000	4674.86000	4665.74000	873
1787581803	XAUUSD	M5	4676.64000	4671.65000	4677.35000	4670.64000	899
1787582103	XAUUSD	M5	4675.53000	4676.66000	4678.59000	4674.66000	849
1787582403	XAUUSD	M5	4672.03000	4675.52000	4677.72000	4669.86000	851
1787582703	XAUUSD	M5	4665.85000	4672.05000	4673.31000	4665.24000	820
1787583003	XAUUSD	M5	4668.42000	4665.84000	4668.42000	4656.96000	864
1787583303	XAUUSD	M5	4670.31000	4668.51000	4675.68000	4667.12000	865
1787583603	XAUUSD	M5	4675.64000	4670.33000	4676.60000	4665.34000	890
1787583903	XAUUSD	M5	4673.37000	4675.73000	4676.42000	4673.08000	845
1787584203	XAUUSD	M5	4672.82000	4673.37000	4674.94000	4671.02000	789
1787584503	XAUUSD	M5	4673.20000	4672.92000	4673.59000	4669.72000	796
1787584803	XAUUSD	M5	4670.15000	4673.19000	4673.37000	4668.26000	760
1787585103	XAUUSD	M5	4675.87000	4670.18000	4679.36000	4669.32000	829
1787585403	XAUUSD	M5	4672.46000	4675.84000	4677.00000	4669.81000	879
1787585703	XAUUSD	M5	4668.56000	4672.51000	4674.72000	4667.41000	790
1787586003	XAUUSD	M5	4660.86000	4668.58000	4668.66000	4659.65000	869
1787586303	XAUUSD	M5	4647.15000	4660.87000	4663.15000	4645.57000	888
1787586603	XAUUSD	M5	4653.52000	4646.73000	4655.71000	4646.73000	852
1787586903	XAUUSD	M5	4649.27000	4653.47000	4653.47000	4639.96000	897
1787587203	XAUUSD	M5	4658.80000	4649.56000	4661.42000	4646.62000	933
1787587503	XAUUSD	M5	4654.24000	4658.90000	4661.65000	4654.02000	811
1787587803	XAUUSD	M5	4657.31000	4654.36000	4657.89000	4653.58000	768
1787588103	XAUUSD	M5	4658.70000	4657.32000	4660.39000	4655.92000	757
1787588403	XAUUSD	M5	4656.56000	4658.70000	4659.39000	4656.23000	687
1787588703	XAUUSD	M5	4658.82000	4656.56000	4659.31000	4656.21000	666
1787589003	XAUUSD	M5	4660.48000	4658.81000	4661.40000	4658.81000	669
1787589303	XAUUSD	M5	4659.72000	4660.48000	4662.11000	4659.14000	655
1787589603	XAUUSD	M5	4659.78000	4659.45000	4661.23000	4658.37000	608
1787589903	XAUUSD	M5	4657.45000	4659.64000	4660.09000	4655.19000	669
1787590203	XAUUSD	M5	4652.51000	4657.41000	4657.75000	4651.10000	759
1787590503	XAUUSD	M5	4645.02000	4652.49000	4652.49000	4642.26000	821
1787590803	XAUUSD	M5	4646.00000	4644.96000	4647.76000	4641.75000	858
1787591103	XAUUSD	M5	4652.37000	4645.99000	4655.14000	4644.23000	848
1787591403	XAUUSD	M5	4651.74000	4652.32000	4654.58000	4649.42000	816
1787591703	XAUUSD	M5	4648.28000	4651.53000	4654.07000	4647.65000	827
1787592003	XAUUSD	M5	4636.88000	4648.21000	4648.23000	4630.41000	946
1787592303	XAUUSD	M5	4638.53000	4636.81000	4645.04000	4633.00000	851
1787592603	XAUUSD	M5	4637.64000	4638.63000	4641.14000	4635.69000	800
1787592903	XAUUSD	M5	4641.24000	4637.64000	4643.10000	4636.85000	775
1787593203	XAUUSD	M5	4638.66000	4641.26000	4642.31000	4638.59000	699
1787593503	XAUUSD	M5	4634.11000	4638.61000	4639.01000	4633.97000	669
1787593803	XAUUSD	M5	4634.36000	4633.92000	4638.81000	4632.91000	712
1787594103	XAUUSD	M5	4636.86000	4634.36000	4637.74000	4633.23000	678
