Non_B_timestamp	Non_B_symbol	Non_B_timeframe	Non_B_close	Non_B_Base_FL	Non_B_UOEDT	Non_B_LOEDT	Non_B_horiz_high_map	Non_B_horiz_low_map	Non_B_ssa	Non_B_ema_ssa	Non_B_crossing
1785261602	XAUUSD	M15	4028.32						4026.25494417	4028.67986989	0
1785262502	XAUUSD	M15	4027.16						4024.86237960	4026.77112475	0
1785263402	XAUUSD	M15	4024.24						4024.15007779	4025.46060127	0
1785264302	XAUUSD	M15	4023.07						4024.09655839	4024.77857983	0
1785265202	XAUUSD	M15	4024.15						4024.55325533	4024.66591758	0
1785266102	XAUUSD	M15	4023.47						4025.27999456	4024.97295607	1
1785267002	XAUUSD	M15	4026.21						4026.07249876	4025.52272741	0
1785267902	XAUUSD	M15	4026.41						4026.65974314	4026.09123528	0
1785268802	XAUUSD	M15	4023.71						4026.87087403	4026.48105465	0
1785269702	XAUUSD	M15	4027.29						4026.69929793	4026.59017629	0
1785270602	XAUUSD	M15	4029.93						4026.06945394	4026.32981512	1
1785271502	XAUUSD	M15	4028.54						4024.99412277	4025.66196894	0
1785276002	XAUUSD	M15	4024.64						4023.68232113	4024.67214504	0
1785276902	XAUUSD	M15	4021.00						4022.42221658	4023.54718081	0
1785277802	XAUUSD	M15	4018.35						4021.49085061	4022.51901571	0
1785278702	XAUUSD	M15	4018.33						4021.01785451	4021.76843511	0
1785279602	XAUUSD	M15	4021.87						4020.97203361	4021.37023436	0
1785280502	XAUUSD	M15	4018.55						4021.14034335	4021.25528886	0
1785281402	XAUUSD	M15	4022.99						4021.45233858	4021.35381372	1
1785282302	XAUUSD	M15	4024.92						4021.62603383	4021.48992377	0
1785283202	XAUUSD	M15	4020.64						4021.54653272	4021.51822824	0
1785284102	XAUUSD	M15	4022.50						4021.36858631	4021.44340728	1
1785285002	XAUUSD	M15	4026.09						4021.19126541	4021.31733634	0
1785285902	XAUUSD	M15	4022.04						4021.14214274	4021.22973954	0
1785286802	XAUUSD	M15	4013.29					4010.47000	4021.54429270	4021.38701612	1
1785287702	XAUUSD	M15	4018.53						4022.74323616	4022.06512614	0
1785288602	XAUUSD	M15	4027.69						4024.55755579	4023.31134097	0
1785289502	XAUUSD	M15	4025.96						4026.54305507	4024.92719802	0
1785290402	XAUUSD	M15	4028.26						4028.45281746	4026.69000774	0
1785291302	XAUUSD	M15	4033.07						4029.93289184	4028.31144979	0
1785292202	XAUUSD	M15	4034.99						4030.61303850	4029.46224414	0
1785293102	XAUUSD	M15	4029.47						4030.33339398	4029.89781906	0
1785294002	XAUUSD	M15	4027.81						4029.30498021	4029.60139963	1
1785294902	XAUUSD	M15	4026.97						4027.80656334	4028.70398149	0
1785295802	XAUUSD	M15	4025.97						4026.17547075	4027.43972612	0
1785296702	XAUUSD	M15	4023.67						4024.77614266	4026.10793439	0
1785297602	XAUUSD	M15	4021.75						4023.97424802	4025.04109120	0
1785298502	XAUUSD	M15	4023.53						4024.03396726	4024.53752923	0
1785299402	XAUUSD	M15	4027.09						4024.98776141	4024.76264532	1
1785300302	XAUUSD	M15	4027.40						4026.70852111	4025.73558322	0
1785301202	XAUUSD	M15	4030.23						4029.04883116	4027.39220719	0
1785302102	XAUUSD	M15	4030.47						4031.69310087	4029.54265403	0
1785303002	XAUUSD	M15	4039.07						4034.41095308	4031.97680355	0
1785303902	XAUUSD	M15	4033.03						4036.83344128	4034.40512241	0
1785304802	XAUUSD	M15	4037.45						4039.04110600	4036.72311421	0
1785305702	XAUUSD	M15	4040.81						4040.89975209	4038.81143315	0
1785306602	XAUUSD	M15	4042.75						4042.34226174	4040.57684745	0
1785307502	XAUUSD	M15	4041.13						4043.34685707	4041.96185226	0
1785308402	XAUUSD	M15	4045.30						4043.96097928	4042.96141577	0
1785309302	XAUUSD	M15	4045.97				4047.74000		4044.07168590	4043.51655083	0
1785310202	XAUUSD	M15	4045.92						4043.64951097	4043.58303090	0
1785311102	XAUUSD	M15	4043.72						4042.72738152	4043.15520621	1
1785312002	XAUUSD	M15	4039.16						4041.41478862	4042.28499742	0
1785312902	XAUUSD	M15	4037.32						4039.91601297	4041.10050519	0
1785313802	XAUUSD	M15	4038.25						4038.38849392	4039.74449956	0
1785314702	XAUUSD	M15	4037.52						4036.90664720	4038.32557338	0
1785315602	XAUUSD	M15	4036.29						4035.51864334	4036.92210836	0
1785316502	XAUUSD	M15	4033.76						4034.26571692	4035.59391264	0
1785317402	XAUUSD	M15	4034.35						4033.20919988	4034.40155626	0
1785318302	XAUUSD	M15	4032.53						4032.30643959	4033.35399793	0
1785319202	XAUUSD	M15	4031.92						4031.60582921	4032.47991357	0
1785320102	XAUUSD	M15	4033.29						4031.09913074	4031.78952216	0
1785321002	XAUUSD	M15	4027.44						4030.72837506	4031.25894861	0
1785321902	XAUUSD	M15	4027.62						4030.50866038	4030.88380449	0
1785322802	XAUUSD	M15	4029.64						4030.35302084	4030.61841267	0
1785323702	XAUUSD	M15	4032.78						4030.03105557	4030.32473412	0
1785324602	XAUUSD	M15	4030.87						4029.27324050	4029.79898731	0
1785325502	XAUUSD	M15	4032.78						4028.03979204	4028.91938968	0
1785326402	XAUUSD	M15	4027.02						4026.24489602	4027.58214285	0
1785327302	XAUUSD	M15	4013.40						4024.02118542	4025.80166413	0
1785328202	XAUUSD	M15	4021.03						4021.71946761	4023.76056587	0
1785329102	XAUUSD	M15	4022.56						4019.05248588	4021.40652587	0
1785330002	XAUUSD	M15	4015.67						4015.94955975	4018.67804281	0
1785330902	XAUUSD	M15	4014.63						4012.65051336	4015.66427809	0
1785331802	XAUUSD	M15	4013.59						4009.42141884	4012.54284846	0
1785332702	XAUUSD	M15	4007.06						4006.56385647	4009.55335247	0
1785333602	XAUUSD	M15	3999.13					3996.01000	4004.54457878	4007.04896562	0
1785334502	XAUUSD	M15	4005.52						4003.73386043	4005.39141303	0
1785335402	XAUUSD	M15	4001.28						4003.94103535	4004.66622419	0
1785336302	XAUUSD	M15	4004.88						4005.05586899	4004.86104659	1
1785337202	XAUUSD	M15	4006.88						4006.65577693	4005.75841176	0
1785338102	XAUUSD	M15	4010.54						4008.36826951	4007.06334064	0
1785339002	XAUUSD	M15	4010.51						4009.91744150	4008.49039107	0
1785339902	XAUUSD	M15	4009.76						4011.35166551	4009.92102829	0
1785340802	XAUUSD	M15	4009.48						4012.99223056	4011.45662942	0
1785341702	XAUUSD	M15	4016.56						4015.34958404	4013.40310673	0
1785342602	XAUUSD	M15	4016.98						4018.82453061	4016.11381867	0
1785343502	XAUUSD	M15	4027.22						4023.98186107	4020.04783987	0
1785344402	XAUUSD	M15	4042.08						4030.98410323	4025.51597155	0
1785345302	XAUUSD	M15	4039.32						4039.60919910	4032.56258533	0
1785346202	XAUUSD	M15	4045.77						4049.78180268	4041.17219401	0
1785347102	XAUUSD	M15	4044.22						4060.79011760	4050.98115580	0
1785348002	XAUUSD	M15	4081.07						4071.73779330	4061.35947455	0
