TimeStamp	symbol	timeframe	close	Type	CurrentPoint	CurrentPrChg	Current%Chg	Current%ChgClass	CurrentBars	CurrentBarsClass	CurrentPrPerBar	CurrentPrPerBarClass	CurrentSlope	CurrentCategory
1776931206	XAUUSD	M15	4718.21000	Peak	4724.89000	31.83000	0.68	0	10	0	3.18300	0	72.5589	LH
1776940206	XAUUSD	M15	4690.77000	Bottom	4684.26000	-40.63000	-0.86	3	10	3	-4.06300	3	-76.1730	LL
1776948306	XAUUSD	M15	4740.04000	Peak	4743.22000	58.96000	1.26	0	9	0	6.55111	0	81.3210	HH
1776966306	XAUUSD	M15	4709.41000	Bottom	4664.30000	-78.92000	-1.66	3	20	3	-3.94600	3	-75.7794	LL
1776993306	XAUUSD	M15	4698.41000	Peak	4711.23000	46.93000	1.01	0	26	0	1.80500	0	61.0128	LH
1777005006	XAUUSD	M15	4668.58000	Bottom	4658.17000	-53.06000	-1.13	3	13	3	-4.08154	3	-76.2334	LL
1777018506	XAUUSD	M15	4687.83000	Peak	4697.42000	39.25000	0.84	0	15	0	2.61667	0	69.0849	LH
1777026606	XAUUSD	M15	4679.01000	Bottom	4674.72000	-22.70000	-0.48	3	9	3	-2.52222	3	-68.3729	HL
1777039206	XAUUSD	M15	4731.95000	Peak	4740.49000	65.77000	1.41	0	14	0	4.69786	0	77.9832	HH
1777248006	XAUUSD	M15	4679.86000	Bottom	4672.35000	-68.14000	-1.44	3	36	4	-1.89278	3	-62.1514	LL
1777264206	XAUUSD	M15	4726.18000	Peak	4729.92000	57.57000	1.23	0	18	0	3.19833	0	72.6375	LH
1777282206	XAUUSD	M15	4704.64000	Bottom	4699.29000	-30.63000	-0.65	3	20	3	-1.53150	3	-56.8573	HL
1777292106	XAUUSD	M15	4707.09000	Peak	4712.59000	13.30000	0.28	0	11	0	1.20909	0	50.4069	LH
1777302006	XAUUSD	M15	4674.65000	Bottom	4667.32000	-45.27000	-0.96	3	11	3	-4.11545	3	-76.3426	LL
1777334406	XAUUSD	M15	4697.91000	Peak	4701.14000	33.82000	0.72	0	32	0	1.05688	0	46.5839	LH
1777377606	XAUUSD	M15	4581.73000	Bottom	4555.12000	-146.02000	-3.11	5	48	5	-3.04208	3	-71.8032	LL
1777397406	XAUUSD	M15	4599.02000	Peak	4601.49000	46.37000	1.02	0	22	0	2.10773	0	64.6182	LH
1777419006	XAUUSD	M15	4589.91000	Bottom	4587.93000	-13.56000	-0.29	3	20	3	-0.67800	3	-34.1373	HL
1777420806	XAUUSD	M15	4607.37000	Peak	4610.15000	22.22000	0.48	0	2	0	11.11000	0	84.8567	HH
1777424406	XAUUSD	M15	4582.65000	Bottom	4575.84000	-34.31000	-0.74	3	4	3	-8.57750	3	-83.3502	LL
1777438806	XAUUSD	M15	4601.15000	Peak	4607.77000	31.93000	0.70	0	16	0	1.99563	0	63.3847	LH
1777470306	XAUUSD	M15	4521.71000	Bottom	4510.28000	-97.49000	-2.12	4	35	3	-2.78543	3	-70.2513	LL
1777478406	XAUUSD	M15	4559.10000	Peak	4564.75000	54.47000	1.21	0	9	0	6.05222	0	80.6179	LH
1777488306	XAUUSD	M15	4538.19000	Bottom	4518.41000	-46.34000	-1.02	3	11	3	-4.21273	3	-76.6465	HL
1777513506	XAUUSD	M15	4579.13000	Peak	4582.32000	63.91000	1.41	0	24	0	2.66292	0	69.4174	HH
1777523406	XAUUSD	M15	4544.74000	Bottom	4540.82000	-41.50000	-0.91	3	11	3	-3.77273	3	-75.1545	HL
1777545006	XAUUSD	M15	4636.62000	Peak	4647.10000	106.28000	2.34	1	24	0	4.42833	0	77.2750	HH
1777567506	XAUUSD	M15	4607.62000	Bottom	4605.56000	-41.54000	-0.89	3	25	3	-1.66160	3	-58.9592	HL
1777591806	XAUUSD	M15	4631.31000	Peak	4634.14000	28.58000	0.62	0	23	0	1.24261	0	51.1743	LH
1777598106	XAUUSD	M15	4616.68000	Bottom	4614.27000	-19.87000	-0.43	3	7	3	-2.83857	3	-70.5932	HL
1777601706	XAUUSD	M15	4629.39000	Peak	4635.83000	21.56000	0.47	0	4	0	5.39000	0	79.4895	HH
1777628706	XAUUSD	M15	4563.12000	Bottom	4560.44000	-75.39000	-1.63	3	30	3	-2.51300	3	-68.3009	LL
1777644906	XAUUSD	M15	4644.67000	Peak	4660.32000	99.88000	2.19	1	18	0	5.54889	0	79.7840	HH
1777665606	XAUUSD	M15	4611.41000	Bottom	4607.09000	-53.23000	-1.14	3	23	3	-2.31435	3	-66.6314	HL
1777845606	XAUUSD	M15	4623.11000	Peak	4632.11000	25.02000	0.54	0	4	0	6.25500	0	80.9169	LH
1777858206	XAUUSD	M15	4601.59000	Bottom	4592.93000	-39.18000	-0.85	3	14	3	-2.79857	3	-70.3369	LL
1777860006	XAUUSD	M15	4608.34000	Peak	4618.59000	25.66000	0.56	0	2	0	12.83000	0	85.5432	LH
1777889706	XAUUSD	M15	4545.00000	Bottom	4526.40000	-92.19000	-2.00	4	33	3	-2.79364	3	-70.3048	LL
1777905006	XAUUSD	M15	4574.38000	Peak	4583.16000	56.76000	1.25	0	17	0	3.33882	0	73.3267	LH
1777910406	XAUUSD	M15	4509.88000	Bottom	4500.86000	-82.30000	-1.80	3	6	3	-13.71667	5	-85.8303	LL
1777939206	XAUUSD	M15	4527.77000	Peak	4528.57000	27.71000	0.62	0	28	0	0.98964	0	44.7017	LH
1777940106	XAUUSD	M15	4517.12000	Bottom	4513.56000	-15.01000	-0.33	3	1	3	-15.01000	5	-86.1885	HL
1777949106	XAUUSD	M15	4539.17000	Peak	4546.78000	33.22000	0.74	0	10	0	3.32200	0	73.2470	HH
1777955406	XAUUSD	M15	4531.71000	Bottom	4527.89000	-18.89000	-0.42	3	7	3	-2.69857	3	-69.6670	HL
1777971606	XAUUSD	M15	4557.61000	Peak	4560.53000	32.64000	0.72	0	18	0	1.81333	0	61.1246	HH
1777978806	XAUUSD	M15	4552.62000	Bottom	4540.00000	-20.53000	-0.45	3	8	3	-2.56625	3	-68.7104	HL
1777990506	XAUUSD	M15	4584.37000	Peak	4586.56000	46.56000	1.03	0	13	0	3.58154	0	74.3998	HH
1778020206	XAUUSD	M15	4548.82000	Bottom	4546.31000	-40.25000	-0.88	3	29	3	-1.38793	3	-54.2274	HL
1778064306	XAUUSD	M15	4718.25000	Peak	4722.76000	176.45000	3.88	2	49	2	3.60102	0	74.4801	HH
1778069706	XAUUSD	M15	4683.36000	Bottom	4660.71000	-62.05000	-1.31	3	6	3	-10.34167	5	-84.4769	HL
1778076906	XAUUSD	M15	4705.66000	Peak	4717.43000	56.72000	1.22	0	8	0	7.09000	0	81.9717	LH
1778088606	XAUUSD	M15	4680.64000	Bottom	4678.99000	-38.44000	-0.81	3	13	3	-2.95692	3	-71.3150	HL
1778112906	XAUUSD	M15	4692.51000	Peak	4701.18000	22.19000	0.47	0	23	0	0.96478	0	43.9731	LH
1778114706	XAUUSD	M15	4688.57000	Bottom	4685.59000	-15.59000	-0.33	3	2	3	-7.79500	3	-82.6896	HL
1778118306	XAUUSD	M15	4714.86000	Peak	4721.44000	35.85000	0.77	0	4	0	8.96250	0	83.6335	HH
1778122930	XAUUSD	M15	4707.29000	Bottom	4700.02000	-21.42000	-0.45	3	5	3	-4.28400	3	-76.8609	HL
